url,digg_count,play_count,share_count,repost_count,collect_count,comment_count,video_id,author_id,duration,description,create_time,author_unique_id,location_created
https://www.tiktok.com/@williesalim/video/7283315506415717637,846900.0,22200000.0,53000.0,0.0,76315.0,40300.0,7283315506415717637,6.992945236901478e+16,65.0,Toko Online !!,1695779042,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283335657370553606,227200.0,5400000.0,9174.0,0.0,15139.0,10500.0,7283335657370553606,6.992945236901478e+16,42.0,Gak tau juga ya,1695783733,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283484150047214853,110900.0,2100000.0,12100.0,0.0,11796.0,8201.0,7283484150047214853,6.992945236901478e+16,57.0,JOIN LIVE DAN DAPET IPHONE!!,1695818304,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283492500088687877,110100.0,2800000.0,4028.0,0.0,7503.0,4725.0,7283492500088687877,6.992945236901478e+16,86.0,IPHONE ATAU DIBAYARIN UTANG?!,1695820250,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283502707619400966,227800.0,4900000.0,15700.0,0.0,21492.0,9339.0,7283502707619400966,6.992945236901478e+16,126.0,DEMI BAYAR SEKOLAH!!,1695822626,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283504577960234246,88500.0,2000000.0,4152.0,0.0,6691.0,5272.0,7283504577960234246,6.992945236901478e+16,93.0,SEBENTAR LAGI 1 M!!!,1695823062,williesalim,ID
https://www.tiktok.com/@zachking/video/7283574325519633706,484900.0,8000000.0,1684.0,0.0,23390.0,671.0,7283574325519633706,6.861649508535091e+16,60.0,Where is your top hiding spot? #hideandseek #games #play ,1695839307,zachking,US
https://www.tiktok.com/@williesalim/video/7283823065862130950,215300.0,5800000.0,6078.0,0.0,10824.0,7615.0,7283823065862130950,6.992945236901478e+16,52.0,BANTING HARGA SEBELUM TUTUP!! 😫,1695897217,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283886514692541702,98000.0,2200000.0,2614.0,0.0,5824.0,3416.0,7283886514692541702,6.992945236901478e+16,80.0,SEBELUM DITUTUP GES!!,1695911988,williesalim,ID
https://www.tiktok.com/@mrbeast/video/7283922813612854571,2100000.0,28800000.0,6674.0,0.0,69591.0,11200.0,7283922813612854571,6.614519312189948e+18,35.0,"Bro was hiding in the fruits and vegetables 💀 #hideandseek #camouflage #prophunt #bodypaint  Could you find the hidden people for $10,000? 🤨",1695920445,mrbeast,US
